sample_id,table_row,duration_s,container_declared_duration_s,audio_duration_s,words,supported_words,text_dim,audio_native_dim,audio_word_dim,expression_dim,scene_dim,audio_native_rows,video_native_rows,face_valid_rows,word_audio_valid,word_pitch_valid,word_expression_valid,clock_step_s,clock_rows,clock_audio_valid,clock_expression_valid,clock_text_valid,clock_audio_seconds,clock_expression_seconds,feature_file,sha256,clock_scene_valid
-wny0OAz3g8$_$7,62,8.066666000000001,9.5,7.9105,29,25,768,47,97,52,512,396,81,81,25,25,25,0.1,81,80,81,63,8.0,8.066666000000001,samples/-wny0OAz3g8__7.npz,2397d763789f0629f0f9d26918983328e08d0379464487b120d2b14a41f3482f,81
-wny0OAz3g8$_$9,63,6.2,9.867,6.0435,20,19,768,47,97,52,512,303,62,62,19,19,19,0.1,62,61,62,48,6.1000000000000005,6.2,samples/-wny0OAz3g8__9.npz,8956fbb3bb0a2acd2b86b4d3c022f0916590c278c01d284f1556df951d8a6952,62
-571d8cVauQ$_$0,64,5.166666,5.167,4.9923125,12,10,768,47,97,52,512,250,52,50,10,10,10,0.1,52,50,51,28,5.0,5.066666000000001,samples/-571d8cVauQ__0.npz,eb40d4d9bc1cdcd16b969a310696d0bc44e933c2f4a7389047bd3e301701f929,52
-571d8cVauQ$_$5,65,15.266666,18.5,15.11525,43,41,768,47,97,52,512,756,152,152,41,32,41,0.1,153,152,153,105,15.200000000000003,15.266666000000003,samples/-571d8cVauQ__5.npz,c58d5dcd056fe83c214d1005d101f23d1b7d2bb8bb3436c8fc7c97dbf2941de7,153
-I_e4mIh0yE$_$1,66,7.6,10.767,7.4443125,18,18,768,47,97,52,512,373,76,76,18,17,18,0.1,76,75,76,54,7.5,7.6,samples/-I_e4mIh0yE__1.npz,d89d00366763bae40fac1923ccc08abdeb2974524895eead771a43cada09ffc7,76
-I_e4mIh0yE$_$3,67,9.133333,9.3,8.994375,22,15,768,47,97,52,512,450,91,91,15,8,15,0.1,92,90,92,36,9.0,9.133333,samples/-I_e4mIh0yE__3.npz,02de012993e9689d8c370d9b92eeafdbb0ce86066cb048ed075c4b52c06083a7,92
-UacrmKiTn4$_$10,68,7.333333,12.634,7.2420625,18,18,768,47,97,52,512,363,73,73,18,16,18,0.1,74,73,74,52,7.300000000000001,7.333333,samples/-UacrmKiTn4__10.npz,cb01a2acf018cdc1489097ad13e74e5d3b0cfe42d7b35fb9b3fdb0be537fbd5b,74
-UacrmKiTn4$_$4,69,4.733333,6.223,4.6819375,14,14,768,47,97,52,512,235,48,48,14,14,14,0.1,48,47,48,36,4.7,4.733333,samples/-UacrmKiTn4__4.npz,fe05d112a0ad2b27622d12b969606a9f595e822954f95965e8fc4e497acf6be1,48
-hnBHBN8p5A$_$7,70,7.340656,9.176,7.3085625,13,0,768,47,97,52,512,366,73,48,0,0,0,0.1,74,74,52,0,7.340656,5.140656000000001,samples/-hnBHBN8p5A__7.npz,6a35bf6dd884af000d262bc0690d713d10939b8890579bac34ee484ca3c49785,74
-hnBHBN8p5A$_$6,71,6.381367,11.429,6.3328125,13,0,768,47,97,52,512,317,64,35,0,0,0,0.1,64,64,37,0,6.381367,3.6999999999999997,samples/-hnBHBN8p5A__6.npz,8fde08085e903dc35cf8289db92e43b9f811bc6d1052aea5179597157beedcc9,64
-qDkUB0GgYY$_$6,72,4.666666,9.683,4.6146875,16,14,768,47,97,52,512,231,47,47,14,14,14,0.1,47,47,47,28,4.666666,4.666666,samples/-qDkUB0GgYY__6.npz,616da69f0aaf5f8a032a7cd7a171fb9ed6dd35ab635050425135c50f8b83e509,47
-uywlfIYOS8$_$4,73,6.033333,14.334,5.881125,18,17,768,47,97,52,512,295,61,61,17,17,17,0.1,61,59,61,37,5.9,6.033333,samples/-uywlfIYOS8__4.npz,5848b85c8a383344c1eb949ac112982f9e869fd34b678846dca5c7a48200449e,61
-6rXp3zJ3kc$_$8,74,12.8,16.58,12.738,34,30,768,47,97,52,512,637,128,128,30,27,30,0.1,128,128,128,86,12.8,12.8,samples/-6rXp3zJ3kc__8.npz,df0dba3534d6ab819477434e71a915f0ca330d513a5c635c0a58c43dcf052afe,128
-9y-fZ3swSY$_$0,75,6.8999999999999995,6.9,6.757,22,10,768,47,97,52,512,338,69,69,10,10,10,0.1,69,68,69,27,6.800000000000001,6.8999999999999995,samples/-9y-fZ3swSY__0.npz,9d6c8e260c834130bdbb78282c34f478435c0bf859352480742718582f8376a6,69
-9y-fZ3swSY$_$4,76,2.8,9.334,2.6648125,11,10,768,47,97,52,512,134,28,28,10,7,10,0.1,28,27,28,14,2.7,2.8,samples/-9y-fZ3swSY__4.npz,4c2ea2c71fb59f2d3d467d5d4fdd3ae46f26c66a8707baec13916d8ccf53b2fb,28
-9y-fZ3swSY$_$8,77,4.966666,10.775,4.917,12,10,768,47,97,52,512,246,50,45,10,9,9,0.1,50,50,46,29,4.966666,4.566666,samples/-9y-fZ3swSY__8.npz,921378ef3cff8a6ca2a01d0b84313f87eb5f0917e46b45058ce58ce96ad38396,50
-AUZQgSxyPQ$_$2,78,22.5,27.3,22.4045625,41,32,768,47,97,52,512,1121,225,225,32,13,32,0.1,225,224,225,138,22.400000000000002,22.5,samples/-AUZQgSxyPQ__2.npz,528d6b7ae2c0083c1addf902f247823a5c58dc4a062f92cfc3a8036bae01e630,225
-HeZS2-Prhc$_$2,79,8.233333,15.834,8.150875,16,15,768,47,97,52,512,408,82,82,15,15,15,0.1,83,82,83,48,8.200000000000001,8.233333,samples/-HeZS2-Prhc__2.npz,0b98faaebafbbaaab3b1395ea7531919f04917eca10c176bc11abbd5b8aad57d,83
-MeTTeMJBNc$_$0,80,9.333333000000001,9.334,9.2183125,21,21,768,47,97,52,512,461,94,93,21,14,21,0.1,94,93,94,71,9.3,9.333333000000001,samples/-MeTTeMJBNc__0.npz,8c1fd56218ce67e45994b4a74fcbcb09e0ba482b132bd857f6bbc6290a0954d8,94
-MeTTeMJBNc$_$13,81,5.3999999999999995,7.467,5.2555,14,12,768,47,97,52,512,263,54,54,12,8,12,0.1,54,53,54,31,5.300000000000001,5.3999999999999995,samples/-MeTTeMJBNc__13.npz,29ffb995b8dd82f73c3891bbe8fe3c9474740048352e456aef09db009ce142da,54
-MeTTeMJBNc$_$7,82,10.5,17.367,10.4113125,31,28,768,47,97,52,512,521,105,105,28,21,28,0.1,105,105,105,79,10.5,10.5,samples/-MeTTeMJBNc__7.npz,91aabfdaa2e6304c1abc68af814415ea4110802e780991ac7ef301a74e77f36d,105
-RfYyzHpjk4$_$11,83,5.233333,11.7,5.074875,17,17,768,47,97,52,512,254,52,52,17,17,17,0.1,53,51,53,35,5.1000000000000005,5.233333,samples/-RfYyzHpjk4__11.npz,fbfbefde0941fa7be17562a3012ae63e047c4fe63629934cf5768a7aea8326ec,53
-RfYyzHpjk4$_$8,84,4.566666,11.657,4.532375,17,16,768,47,97,52,512,227,46,46,16,14,16,0.1,46,46,46,34,4.566666,4.566666,samples/-RfYyzHpjk4__8.npz,f41fc9867e635be8088382814d8142321aa0b8e54d44929953837684ba74afbf,46
-RfYyzHpjk4$_$2,85,5.5,6.234,5.3918125,25,18,768,47,97,52,512,270,55,55,18,18,18,0.1,55,54,55,36,5.4,5.5,samples/-RfYyzHpjk4__2.npz,0026d507d8318fd197f27a584c0e52360313c8077787f69e6c90ab6e021d375f,55
-UUCSKoHeMA$_$0,86,7.8666659999999995,7.867,7.73225,18,18,768,47,97,52,512,387,79,78,18,17,18,0.1,79,78,79,53,7.800000000000001,7.8666659999999995,samples/-UUCSKoHeMA__0.npz,3ce250fe657264d28c6b9fc81870252c3a5998662a24c145bbf755ad84b8948a,79
-ri04Z7vwnc$_$0,87,2.7944560000000003,3.295,2.76325,8,0,768,47,97,52,512,139,28,0,0,0,0,0.1,28,28,0,0,2.7944560000000003,0.0,samples/-ri04Z7vwnc__0.npz,03915708ac49ab73224aa6bff41353528b36219ceb5f58bb989fa12adb350210,28
-ri04Z7vwnc$_$2,88,6.005989,6.966,5.913375,16,0,768,47,97,52,512,296,60,22,0,0,0,0.1,61,60,24,0,6.0,2.3059889999999994,samples/-ri04Z7vwnc__2.npz,895faa812a909df9be39693c87fa90fd0fb811710d243f139053a5417171af89,61
-ri04Z7vwnc$_$5,89,3.5035000000000003,5.965,3.43975,8,0,768,47,97,52,512,172,35,35,0,0,0,0.1,36,35,35,0,3.5,3.5,samples/-ri04Z7vwnc__5.npz,7660a3a267303bdbe69ecae7ff8f201d50f5c49ffd8bdb1fa477b92439ae95c8,35
-s9qJ7ATP7w$_$1,90,4.766666,10.9,4.6438125,11,9,768,47,97,52,512,233,47,47,9,6,9,0.1,48,47,48,18,4.7,4.766666,samples/-s9qJ7ATP7w__1.npz,718c659940fc23a974af07ce0c31ff3143bfe1076ef2cd717e1b567bea33779c,48
-s9qJ7ATP7w$_$0,91,6.8666659999999995,6.867,6.7105625,24,16,768,47,97,52,512,336,69,69,16,15,16,0.1,69,68,69,35,6.800000000000001,6.8666659999999995,samples/-s9qJ7ATP7w__0.npz,45f14f84f5e3f5d70824ea263ac72c7aaefe6d13fc4dd76d3b1a04ada11bfed2,69
