sample_id,word_index,char_start,char_end,original_fragment,apostrophe_normalized_fragment,spoken_word,bert_positions,normalization
-3g5yACwYnA$_$2,2,12,18,brings,brings,brings,[3],lowercase / apostrophe normalization
-3g5yACwYnA$_$2,3,19,20,a,a,a,[4],lowercase / apostrophe normalization
-3g5yACwYnA$_$2,4,21,30,technical,technical,technical,[5],lowercase / apostrophe normalization
-3g5yACwYnA$_$2,5,31,37,aspect,aspect,aspect,[6],lowercase / apostrophe normalization
-3g5yACwYnA$_$2,6,38,40,to,to,to,[7],lowercase / apostrophe normalization
-3g5yACwYnA$_$2,7,41,44,our,our,our,[8],lowercase / apostrophe normalization
-3g5yACwYnA$_$2,8,45,54,operation,operation,operation,[9],lowercase / apostrophe normalization
-3g5yACwYnA$_$2,9,55,59,that,that,that,[10],lowercase / apostrophe normalization
-3g5yACwYnA$_$2,10,60,62,we,we,we,[11],lowercase / apostrophe normalization
-3g5yACwYnA$_$2,11,63,68,don't,don't,don't,"[12, 13, 14]",lowercase / apostrophe normalization
-3g5yACwYnA$_$2,12,69,73,have,have,have,[15],lowercase / apostrophe normalization
-3g5yACwYnA$_$2,13,74,84,internally,internally,internally,[16],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,0,0,2,We,We,we,[1],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,1,3,7,have,have,have,[2],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,2,8,12,many,many,many,[3],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,3,13,16,new,new,new,[4],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,4,17,30,opportunities,opportunities,opportunities,[5],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,5,31,38,through,through,through,[6],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,6,39,42,the,the,the,[7],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,7,43,46,way,way,way,[8],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,8,47,53,things,things,things,[9],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,9,54,58,have,have,have,[10],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,10,59,66,changed,changed,changed,[11],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,11,67,74,through,through,through,[12],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,12,75,78,the,the,the,[13],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,13,79,84,years,years,years,[14],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,14,86,93,looking,looking,looking,[16],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,15,94,97,for,for,for,[17],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,16,98,101,new,new,new,[18],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,17,102,107,niche,niche,niche,[19],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,18,108,112,high,high,high,[20],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,19,113,116,end,end,end,[22],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,20,118,123,value,value,value,[24],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,21,124,129,added,added,added,[26],lowercase / apostrophe normalization
-3g5yACwYnA$_$9,22,130,138,products,products,products,[27],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,0,0,13,Noncompliance,Noncompliance,noncompliance,"[1, 2, 3, 4]",lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,1,14,17,can,can,can,[5],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,2,18,24,result,result,result,[6],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,3,25,27,in,in,in,[7],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,4,28,33,legal,legal,legal,[8],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,5,34,43,liability,liability,liability,[9],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,6,44,46,to,to,to,[10],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,7,47,50,you,you,you,[11],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,8,51,54,and,and,and,[12],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,9,55,57,to,to,to,[13],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,10,58,61,the,the,the,[14],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,11,62,68,school,school,school,[15],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,12,69,77,district,district,district,[16],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,13,78,80,in,in,in,[17],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,14,81,86,which,which,which,[18],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,15,87,90,you,you,you,[19],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,16,91,94,are,are,are,[20],lowercase / apostrophe normalization
-3nNcZdcdvU$_$5,17,95,103,employed,employed,employed,[21],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$2,0,30,34,Look,Look,look,[3],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$2,1,35,37,at,at,at,[4],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$2,2,38,41,the,the,the,[5],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$2,3,42,48,record,record,record,[6],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$5,0,2,11,President,President,president,[2],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$5,1,12,18,Ronald,Ronald,ronald,[3],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$5,2,19,25,Reagan,Reagan,reagan,[4],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$5,3,26,32,blamed,blamed,blamed,[5],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$5,4,33,36,the,the,the,[6],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$5,5,37,49,professional,professional,professional,[7],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$5,6,50,61,bureaucracy,bureaucracy,bureaucracy,[8],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$5,7,62,64,of,of,of,[9],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$5,8,65,74,education,education,education,[10],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$6,0,0,3,And,And,and,[1],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$6,1,4,6,in,in,in,[2],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$6,2,7,11,part,part,part,[3],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$6,3,13,15,Al,Al,al,[5],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$6,4,16,23,Shanker,Shanker,shanker,"[6, 7]",lowercase / apostrophe normalization
-HwX2H8Z4hY$_$6,5,24,27,did,did,did,[8],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$6,6,28,31,too,too,too,[9],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,0,0,2,It,It,it,[1],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,1,3,5,is,is,is,[2],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,2,6,7,a,a,a,[3],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,3,8,12,word,word,word,[4],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,4,13,18,which,which,which,[5],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,5,19,22,the,the,the,[6],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,6,23,36,administrator,administrator,administrator,[7],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,7,37,41,uses,uses,uses,[8],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,8,42,46,when,when,when,[9],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,9,47,49,he,he,he,[10],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,10,50,55,turns,turns,turns,[11],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,11,56,62,around,around,around,[12],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,12,63,71,anything,anything,anything,[13],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,13,72,77,which,which,which,[14],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,14,78,80,he,he,he,[15],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,15,81,88,doesn't,doesn't,doesn't,"[16, 17, 18]",lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,16,89,93,like,like,like,[19],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,17,94,98,that,that,that,[20],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,18,99,102,the,the,the,[21],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,19,103,110,teacher,teacher,teacher,[22],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,20,111,113,is,is,is,[23],lowercase / apostrophe normalization
-HwX2H8Z4hY$_$9,21,114,119,doing,doing,doing,[24],lowercase / apostrophe normalization
-NFrJFQijFE$_$1,0,0,10,Structural,Structural,structural,[1],lowercase / apostrophe normalization
-NFrJFQijFE$_$1,1,11,17,mounts,mounts,mounts,[2],lowercase / apostrophe normalization
-NFrJFQijFE$_$1,2,18,24,inside,inside,inside,[3],lowercase / apostrophe normalization
-NFrJFQijFE$_$1,3,25,29,have,have,have,[4],lowercase / apostrophe normalization
-NFrJFQijFE$_$1,4,30,32,to,to,to,[5],lowercase / apostrophe normalization
-NFrJFQijFE$_$1,5,33,35,be,be,be,[6],lowercase / apostrophe normalization
-NFrJFQijFE$_$1,6,36,44,properly,properly,properly,[7],lowercase / apostrophe normalization
-NFrJFQijFE$_$1,7,45,51,stress,stress,stress,[8],lowercase / apostrophe normalization
-NFrJFQijFE$_$1,8,52,60,analyzed,analyzed,analyzed,[9],lowercase / apostrophe normalization
-NFrJFQijFE$_$1,9,61,63,so,so,so,[10],lowercase / apostrophe normalization
-NFrJFQijFE$_$1,10,64,66,we,we,we,[11],lowercase / apostrophe normalization
-NFrJFQijFE$_$1,11,67,71,make,make,make,[12],lowercase / apostrophe normalization
-NFrJFQijFE$_$1,12,72,76,sure,sure,sure,[13],lowercase / apostrophe normalization
-NFrJFQijFE$_$1,13,77,80,all,all,all,[14],lowercase / apostrophe normalization
-NFrJFQijFE$_$1,14,81,85,that,that,that,[15],lowercase / apostrophe normalization
-NFrJFQijFE$_$1,15,86,93,happens,happens,happens,[16],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,0,0,2,So,So,so,[1],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,1,3,5,we,we,we,[2],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,2,6,16,coordinate,coordinate,coordinate,[3],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,3,17,21,with,with,with,[4],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,4,22,25,all,all,all,[5],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,5,26,29,the,the,the,[6],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,6,30,36,proper,proper,proper,[7],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,7,37,46,technical,technical,technical,[8],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,8,47,53,fields,fields,fields,[9],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,9,54,56,to,to,to,[10],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,10,57,60,get,get,get,[11],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,11,61,66,ready,ready,ready,[12],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,12,67,70,for,for,for,[13],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,13,71,74,the,the,the,[14],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,14,75,85,instrument,instrument,instrument,[15],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,15,86,88,to,to,to,[16],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,16,89,95,arrive,arrive,arrive,[17],lowercase / apostrophe normalization
-NFrJFQijFE$_$2,17,96,100,here,here,here,[18],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,0,0,4,What,What,what,[1],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,1,5,9,ever,ever,ever,[2],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,2,10,12,we,we,we,[3],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,3,13,17,turn,turn,turn,[4],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,4,18,21,our,our,our,[5],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,5,22,31,attention,attention,attention,[6],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,6,32,34,to,to,to,[7],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,7,35,37,is,is,is,[8],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,8,38,42,what,what,what,[9],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,9,43,48,grows,grows,grows,[10],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,10,49,52,and,and,and,[11],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,11,53,55,so,so,so,[12],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,12,56,58,if,if,if,[13],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,13,59,61,we,we,we,[14],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,14,62,69,believe,believe,believe,[15],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,15,70,74,that,that,that,[16],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,16,75,83,anything,anything,anything,[17],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,17,84,86,is,is,is,[18],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,18,87,95,possible,possible,possible,[19],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,19,97,99,if,if,if,[21],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,20,100,102,we,we,we,[22],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,21,103,110,believe,believe,believe,[23],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,22,111,115,that,that,that,[24],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,23,116,122,social,social,social,[25],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,24,123,130,justice,justice,justice,[26],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,25,131,134,can,can,can,[27],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,26,135,137,be,be,be,[28],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,27,138,146,achieved,achieved,achieved,[29],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,28,147,150,and,and,and,[30],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,29,151,153,if,if,if,[31],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,30,154,156,we,we,we,[32],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,31,157,164,believe,believe,believe,[33],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,32,165,167,in,in,in,[34],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,33,168,173,youth,youth,youth,[35],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,34,175,179,they,they,they,[37],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,35,180,184,will,will,will,[38],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,36,185,192,believe,believe,believe,[39],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,37,193,195,in,in,in,[40],lowercase / apostrophe normalization
-THoVjtIkeU$_$12,38,196,206,themselves,themselves,themselves,[41],lowercase / apostrophe normalization
-THoVjtIkeU$_$2,0,0,1,I,I,i,[1],lowercase / apostrophe normalization
-THoVjtIkeU$_$2,1,2,7,think,think,think,[2],lowercase / apostrophe normalization
-THoVjtIkeU$_$2,2,8,14,social,social,social,[3],lowercase / apostrophe normalization
-THoVjtIkeU$_$2,3,15,22,justice,justice,justice,[4],lowercase / apostrophe normalization
-THoVjtIkeU$_$2,4,23,25,is,is,is,[5],lowercase / apostrophe normalization
-THoVjtIkeU$_$2,5,26,35,extremely,extremely,extremely,[6],lowercase / apostrophe normalization
-THoVjtIkeU$_$2,6,36,45,important,important,important,[7],lowercase / apostrophe normalization
-THoVjtIkeU$_$2,7,46,49,for,for,for,[8],lowercase / apostrophe normalization
-THoVjtIkeU$_$2,8,50,55,young,young,young,[9],lowercase / apostrophe normalization
-THoVjtIkeU$_$2,9,56,62,people,people,people,[10],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,0,0,3,You,You,you,[1],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,1,4,8,know,know,know,[2],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,2,9,13,that,that,that,[3],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,3,14,15,I,I,i,[4],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,4,16,21,think,think,think,[5],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,5,22,31,listening,listening,listening,[6],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,6,32,34,to,to,to,[7],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,7,35,40,young,young,young,[8],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,8,41,47,people,people,people,[9],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,9,49,55,taking,taking,taking,[11],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,10,56,58,in,in,in,[12],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,11,59,63,what,what,what,[13],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,12,64,68,they,they,they,[14],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,13,69,73,have,have,have,[15],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,14,74,76,to,to,to,[16],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,15,77,80,say,say,say,[17],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,16,81,88,because,because,because,[18],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,17,89,93,what,what,what,[19],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,18,94,96,we,we,we,[20],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,19,97,101,have,have,have,[21],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,20,102,106,seen,seen,seen,[22],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,21,107,110,all,all,all,[23],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,22,111,117,around,around,around,[24],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,23,118,121,the,the,the,[25],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,24,122,127,world,world,world,[26],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,25,128,130,is,is,is,[27],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,26,131,134,the,the,the,[28],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,27,135,140,power,power,power,[29],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,28,141,143,of,of,of,[30],lowercase / apostrophe normalization
-THoVjtIkeU$_$6,29,144,149,youth,youth,youth,[31],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,0,1,4,And,And,and,[1],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,1,5,8,all,all,all,[2],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,2,9,11,of,of,of,[3],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,3,12,16,them,them,them,[4],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,4,17,20,are,are,are,[5],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,5,21,27,really,really,really,[6],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,6,28,33,being,being,being,[7],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,7,34,38,able,able,able,[8],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,8,39,41,to,to,to,[9],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,9,42,49,explore,explore,explore,[10],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,10,51,56,these,these,these,[11],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,11,57,66,different,different,different,[12],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,12,67,72,areas,areas,areas,[13],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,13,73,75,in,in,in,[14],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,14,76,81,depth,depth,depth,[15],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,15,83,85,in,in,in,[16],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,16,86,87,a,a,a,[17],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,17,88,91,way,way,way,[18],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,18,92,96,that,that,that,[19],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,19,97,103,really,really,really,[20],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,20,104,110,wasn't,wasn't,wasn't,"[21, 22, 23]",lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,21,111,120,available,available,available,[24],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,22,122,128,before,before,before,[25],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,23,129,132,the,the,the,[26],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,24,133,139,center,center,center,[27],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,25,140,143,was,was,was,[28],lowercase / apostrophe normalization
-UuX1xuaiiE$_$1,26,144,148,here,here,here,[29],lowercase / apostrophe normalization
-UuX1xuaiiE$_$0,0,1,5,it's,it's,it's,"[1, 2, 3]",lowercase / apostrophe normalization
-UuX1xuaiiE$_$0,1,6,13,amazing,amazing,amazing,[4],lowercase / apostrophe normalization
-UuX1xuaiiE$_$0,2,14,16,to,to,to,[5],lowercase / apostrophe normalization
-UuX1xuaiiE$_$0,3,17,20,see,see,see,[6],lowercase / apostrophe normalization
-UuX1xuaiiE$_$0,4,21,26,their,their,their,[7],lowercase / apostrophe normalization
-UuX1xuaiiE$_$0,5,27,37,enthusiasm,enthusiasm,enthusiasm,[8],lowercase / apostrophe normalization
-UuX1xuaiiE$_$0,6,38,41,and,and,and,[9],lowercase / apostrophe normalization
-UuX1xuaiiE$_$0,7,42,47,their,their,their,[10],lowercase / apostrophe normalization
-UuX1xuaiiE$_$0,8,48,55,passion,passion,passion,[11],lowercase / apostrophe normalization
-UuX1xuaiiE$_$3,0,0,2,My,My,my,[1],lowercase / apostrophe normalization
-UuX1xuaiiE$_$3,1,3,7,goal,goal,goal,[2],lowercase / apostrophe normalization
-UuX1xuaiiE$_$3,2,8,10,is,is,is,[3],lowercase / apostrophe normalization
-UuX1xuaiiE$_$3,3,11,13,to,to,to,[4],lowercase / apostrophe normalization
-UuX1xuaiiE$_$3,4,14,20,become,become,become,[5],lowercase / apostrophe normalization
-UuX1xuaiiE$_$3,5,21,22,a,a,a,[6],lowercase / apostrophe normalization
-UuX1xuaiiE$_$3,6,23,28,human,human,human,[7],lowercase / apostrophe normalization
-UuX1xuaiiE$_$3,7,29,35,rights,rights,rights,[8],lowercase / apostrophe normalization
-UuX1xuaiiE$_$3,8,36,42,lawyer,lawyer,lawyer,[9],lowercase / apostrophe normalization
-UuX1xuaiiE$_$6,0,0,1,I,I,i,[1],lowercase / apostrophe normalization
