sample_id,text_words,bert_subtokens,unknown_subtokens,words_with_unknown_subtokens,text_valid,supported_words,unsupported_words_with_text,native_audio_rows,native_scene_rows,native_expression_valid
-iRBcNs9oI8$_$7,9,17,0,0,9,0,9,201,41,41
-iRBcNs9oI8$_$8,21,28,0,0,21,0,21,402,81,81
-iRBcNs9oI8$_$9,5,7,0,0,5,0,5,169,34,24
-lzEya4AM_4$_$5,19,23,0,0,19,18,1,379,77,77
-lzEya4AM_4$_$6,43,50,0,0,43,41,2,738,148,148
-MeTTeMJBNc$_$0,21,28,0,0,21,21,0,461,94,93
-MeTTeMJBNc$_$13,14,18,0,0,14,12,2,263,54,54
-MeTTeMJBNc$_$7,31,35,0,0,31,28,3,521,105,105
-mJ2ud6oKI8$_$1,13,15,0,0,13,0,13,303,61,0
-mJ2ud6oKI8$_$2,11,19,0,0,11,0,11,286,57,23
-mJ2ud6oKI8$_$6,5,7,0,0,5,0,5,112,23,23
-mJ2ud6oKI8$_$8,11,13,0,0,11,0,11,209,42,42
-mJ2ud6oKI8$_$9,22,31,0,0,22,0,22,346,70,70
-mqbVkbCndg$_$0,14,19,0,0,14,13,1,320,65,65
-NFrJFQijFE$_$1,16,18,0,0,16,0,16,283,57,0
-NFrJFQijFE$_$2,18,20,0,0,18,0,18,335,68,0
-qDkUB0GgYY$_$6,16,20,0,0,16,14,2,231,47,47
-RfYyzHpjk4$_$11,17,21,0,0,17,17,0,254,52,52
-RfYyzHpjk4$_$2,25,31,0,0,25,18,7,270,55,55
-RfYyzHpjk4$_$8,17,23,0,0,17,16,1,227,46,46
-ri04Z7vwnc$_$0,8,10,0,0,8,0,8,139,28,0
-ri04Z7vwnc$_$2,16,28,0,0,16,0,16,296,60,22
-ri04Z7vwnc$_$5,8,13,0,0,8,0,8,172,35,35
-s9qJ7ATP7w$_$0,24,30,0,0,24,16,8,336,69,69
-s9qJ7ATP7w$_$1,11,14,0,0,11,9,2,233,47,47
-s9qJ7ATP7w$_$4,9,12,0,0,9,8,1,213,44,30
-s9qJ7ATP7w$_$5,19,22,0,0,19,19,0,420,85,85
-s9qJ7ATP7w$_$6,5,7,0,0,5,3,2,116,24,19
-s9qJ7ATP7w$_$7,28,40,0,0,28,20,8,342,70,52
-s9qJ7ATP7w$_$8,12,19,0,0,12,11,1,160,33,33
-t217m2on-s$_$2,12,18,0,0,12,10,2,282,57,57
-t217m2on-s$_$7,45,55,0,0,45,44,1,852,172,172
-tANM6ETl_M$_$3,22,31,0,0,22,21,1,331,68,68
-THoVjtIkeU$_$12,39,44,0,0,39,37,2,741,149,149
-THoVjtIkeU$_$2,10,13,0,0,10,10,0,212,43,43
-THoVjtIkeU$_$6,30,34,0,0,30,23,7,400,81,81
-tPCytz4rww$_$10,12,17,0,0,12,10,2,234,48,48
-tPCytz4rww$_$11,17,22,0,0,17,10,7,269,55,55
-tPCytz4rww$_$12,26,30,0,0,26,18,8,587,119,119
-tPCytz4rww$_$16,16,19,0,0,16,12,4,357,72,72
-tPCytz4rww$_$18,16,24,0,0,16,14,2,329,66,66
-UacrmKiTn4$_$10,18,24,0,0,18,18,0,363,73,73
-UacrmKiTn4$_$4,14,17,0,0,14,14,0,235,48,48
-UUCSKoHeMA$_$0,18,25,0,0,18,18,0,387,79,78
-UuX1xuaiiE$_$0,9,13,0,0,9,8,1,179,37,37
-UuX1xuaiiE$_$1,27,31,0,0,27,27,0,514,104,104
-UuX1xuaiiE$_$3,9,11,0,0,9,8,1,202,41,41
-UuX1xuaiiE$_$6,23,25,0,0,23,22,1,398,81,81
-uywlfIYOS8$_$4,18,24,0,0,18,17,1,295,61,61
-vxjVxOeScU$_$4,21,29,0,0,21,18,3,452,91,91
-wMB_hJL-3o$_$7,22,25,0,0,22,22,0,299,61,59
-wny0OAz3g8$_$0,9,13,0,0,9,9,0,164,33,33
-wny0OAz3g8$_$1,22,30,0,0,22,21,1,339,68,68
-wny0OAz3g8$_$2,23,30,0,0,23,23,0,327,67,67
-wny0OAz3g8$_$3,20,22,0,0,20,19,1,305,61,61
-wny0OAz3g8$_$5,20,29,0,0,20,20,0,338,69,69
-wny0OAz3g8$_$7,29,33,0,0,29,25,4,396,81,81
-wny0OAz3g8$_$9,20,24,0,0,20,19,1,303,62,62
-yRb-Jum7EQ$_$1,49,57,0,0,49,0,49,1456,293,293
-yRb-Jum7EQ$_$5,25,33,0,0,25,0,25,653,132,132
-yRb-Jum7EQ$_$6,19,26,0,0,19,0,19,563,112,112
